year,country,yield_mt_per_ha,source_owid,source_usda,divergence_flag,provenance
2018,Papua New Guinea,13.0733,13.0733,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2019,Indonesia,16.8478,16.8478,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2019,Malaysia,18.9896,18.9896,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2019,Thailand,18.1093,18.1093,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2019,Colombia,16.6436,16.6436,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2019,Nigeria,2.5698,2.5698,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2019,Papua New Guinea,12.9209,12.9209,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2020,Indonesia,17.1321,17.1321,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2020,Malaysia,18.5348,18.5348,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2020,Thailand,17.2698,17.2698,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2020,Colombia,15.0048,15.0048,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2020,Nigeria,2.5675,2.5675,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2020,Papua New Guinea,12.7754,12.7754,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
2021,Indonesia,18.4345,18.4345,,,SOURCE: Our World In Data / FAO — https://ourworldindata.org/grapher/palm-oil-yields.csv?v=1&csvType=full&useColumnShortNames=false
